nombre_estacion,id_comuna
290 - CLUB EXCURSIONISTAS,9
345 - PLAZA MAFALDA,9
291 - UNIVERSIDAD DE BELGRANO,9
HOSPITAL FRANCÉS,10
RINCÓN,10
PLAZA BOEDO,10
FACULTAD DE MEDICINA,10
PUEYRREDÓN,10
LAVALLE,10
HOSPITAL RAMOS MEJÍA,10
SAAVEDRA,10
PLAZA MONSEÑOR MIGUEL DE ANDREA,10
CARLOS GARDEL,10
ECUADOR,10
PASCO,10
PLAZA PRIMERO DE MAYO,10
ONCE II,10
MISIONES,10
SAN LUIS Y ECUADOR,10
SÁNCHEZ DE BUSTAMANTE,10
MÉXICO,10
ONCE,10
CATAMARCA,10
FACULTAD DE PSICOLOGÍA,10
GALLO,10
PASTEUR,10
MANZANA 66,10
HOSPITAL RAMOS MEJIA,10
LARREA Y BARTOLOMÉ MITRE,10
HOSPITAL DE CLÍNICAS,10
SANCHEZ DE BUSTAMANTE,10
MEXICO,10
HOSPITAL FRANCES,10
FACULTAD DE PSICOLOGIA,10
CASTELLI Y PERON,10
PASO Y LAVALLE,10
PLAZA HOUSSAY,10
118 - MEXICO,10
325 - CASTELLI Y PERON,10
120 - HOSPITAL RAMOS MEJIA,10
069 - ECUADOR,10
084 - LAVALLE,10
154 - GALLO,10
165 - PLAZA MONSEÑOR MIGUEL DE ANDREA,10
186 - MANZANA 66,10
146 - HOSPITAL FRANCÉS,10
091 - PASCO,10
076 - AYACUCHO,10
013 - ONCE,10
162 - LARREA Y BARTOLOMÉ MITRE,10
086 - SAAVEDRA,10
144 - PUEYRREDÓN,10
170 - SAN LUIS Y ECUADOR,10
096 - CARLOS GARDEL,10
106 - RINCÓN,10
033 - FACULTAD DE MEDICINA,10
329 - PASO Y LAVALLE,10
052 - SANCHEZ DE BUSTAMANTE,10
171 - PASTEUR,10
169 - FACULTAD DE PSICOLOGIA,10
075 - PLAZA PRIMERO DE MAYO,10
131- HOSPITAL DE CLÍNICAS,10
088 - MISIONES,10
043 - PLAZA HOUSSAY,10
028 - PLAZA BOEDO,10
163 - ONCE II,10
ROSETI,11
FITZ ROY,11
MALABIA,11
FEDERICO LACROZE,11
SANTOS DUMONT Y OTERO,11
VILLARROEL,11
PADILLA,11
ACEVEDO,11
CASTILLO,11
GUZMÁN,11
GÚZMAN,11
SAN MIGUEL DE GARICOITS,11
PLAZA ALFREDO NOBEL,11
PLAZA MALAVER,11
TRONADOR,11
AGRONOMIA II,11
HOSPITAL ALVEAR,11
GIRIBONE,11
JURAMENTO,11
ESPINOSA,11
PLAZA EXODO JUJEÑO,11
NAVARRO,11
PLAZA 25 DE AGOSTO,11
DONATO ALVAREZ,11
HUAURA,11
PLAZA Y CARBAJAL,11
DE LOS INCAS,11
HOSPITAL TORNU,11
PATERNAL,11
JOSE ARTIGAS,11
PLAZA GURRUCHAGA,11
TRES ARROYOS Y OLAYA,11
SEGUI,11
ANDONAEGUI,11
PARQUE LA PATERNAL,11
031 - PADILLA,11
099 - MALABIA,11
104 - FEDERICO LACROZE,11
278 - DONATO ALVAREZ,11
266 - PLAZA ALFREDO NOBEL,11
260 - SAN MIGUEL DE GARICOITS,11
136 - ACEVEDO,11
208 - SEGUI,11
101 - FITZ ROY,11
285 - ESPINOSA,11
100 - PLAZA GURRUCHAGA,11
102 - ROSETI,11
347 - PLAZA MALAVER,11
282 - TRONADOR,11
267 - PLAZA 25 DE AGOSTO,11
306 - TRES ARROYOS Y OLAYA,11
158 - VILLARROEL,11
220 - GIRIBONE,11
303 - HUAURA,11
094 - GÚZMAN,11
395 - AGRONOMIA II,11
127 - SANTOS DUMONT Y OTERO,11
213 - HOSPITAL ALVEAR,11
300 - JOSE ARTIGAS,11
313 - DE LOS INCAS,11
148 - PATERNAL,11
225 - HOSPITAL TORNU,11
279 - ANDONAEGUI,11
226 - PARQUE LA PATERNAL,11
280 - JURAMENTO,11
304 - NAVARRO,11
318 - PLAZA Y CARBAJAL,11
265 - PLAZA EXODO JUJEÑO,11
BERG,12
UTN,12
VILLA SOLDATI,12
337 - UTN,12
379 - BERG,12
372 - VILLA SOLDATI,12
309 - UTN II,12
VIRREY LINIERS,13
LAS CASAS,13
PARQUE LEZAMA,13
BRASIL,13
RUY DÍAZ DE GUZMÁN,13
SALCEDO,13
PARQUE PATRICIOS,13
MINISTERIO DE JUSTICIA  Y SEGURIDAD,13
HOSPITAL SARDÁ,13
PINZÓN Y MARTÍN RODRIGUEZ,13
PARQUE JOSE EVARISTO URIBURU,13
PLAZA MARTIN FIERRO,13
HOSPITAL BRITANICO,13
HOSPITAL ARGERICH,13
URQUIZA,13
JUAN MANUEL DE BLANES,13
15 DE NOVIEMBRE,13
USINA DEL ARTE,13
HOSPITAL GARRAHAN,13
LEONARDO PEREYRA,13
PLAZA HERRERA,13
PLAZA DIAZ VELEZ,13
PLAZA NUEVA POMPEYA,13
PERITO MORENO,13
